"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,1096468306.808001,1621657202.806620,0,36,0,0,yes,1.000000
24,,5609395621.579964,12568935053.679632,0,275,0,0,yes,1.000000
23,,469798696.622515,2006201037.005870,0,45,0,0,yes,1.000000
22,,3384307306.297791,4362456967.156250,0,126,0,0,yes,1.000000
21,,442251180.267135,634391368.133790,0,14,0,0,yes,1.000000
20,,812126096.550814,1218673144.831510,0,56,0,0,yes,1.000000
19,,714455355.802341,896320463.698730,0,31,0,0,yes,1.000000
18,,5992419.187795,6580034.723630,0,2,0,0,yes,1.000000
17,,38223068.882032,79791606.939450,0,4,0,0,yes,1.000000
16,,5360340680.502813,16188057565.130201,0,286,0,0,yes,1.000000
15,,475740709.534277,807921688.595700,0,28,0,0,yes,1.000000
14,,117877661.072850,226428588.045410,0,10,0,0,yes,1.000000
13,,106357780.196526,530247537.922330,0,73,0,0,yes,1.000000
12,,108383939.453124,533463824.656730,0,55,0,0,yes,1.000000
11,,203099116.837551,937823203.549290,0,158,0,0,yes,1.000000
10,,110332387.515864,321649737.962830,0,55,0,0,yes,1.000000
9,,238284629.509380,337090619.298820,0,21,0,0,yes,1.000000
8,,257928662.232081,1578239761.337401,0,160,0,0,yes,1.000000
7,,434248527.484422,2084542125.275890,0,160,0,0,yes,1.000000
6,,468737987.304786,3110367870.165517,0,152,0,0,yes,1.000000
5,,301455310.442283,1013978647.195310,0,55,0,0,yes,1.000000
4,,107541997.643654,151788620.252450,0,10,0,0,yes,1.000000
3,,276535527.748922,296314684.052730,0,16,0,0,yes,1.000000
2,,192323344.329095,324395929.264160,0,27,0,0,yes,1.000000
1,,118118429.428616,132739722.526370,0,5,0,0,yes,1.000000
