"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,9771720621.382225,9771720302.862995,282,2343898.000000,18942285.000000,3101308.000000,2343898.000000,13497079.000000,0.163724,0.000000,0.000000,0,1.000000
2,9820434557.136871,9820434231.822994,285,2393898.000000,18942285.000000,3121308.000000,2393898.000000,13427079.000000,0.164780,0.000000,0.000000,0,1.000000
3,9783917003.746927,9783916675.941996,283,2412229.000000,18942285.000000,3106308.000000,2412229.000000,13423748.000000,0.163988,0.000000,0.000000,0,1.000000
4,9773232440.432781,9771720302.862995,282,2353898.000000,18942285.000000,3096308.000000,2353898.000000,13492079.000000,0.163460,1511817.691628,329918.249896,1,0.997207
5,9782545944.367943,9782545620.412994,283,2383898.000000,18942285.000000,3096308.000000,2383898.000000,13462079.000000,0.163460,0.000000,0.000000,0,1.000000
6,9798035364.500071,9798035036.418596,285,2414264.000000,18942285.000000,3107441.000000,2414264.000000,13420580.000000,0.164048,0.000000,0.000000,0,1.000000
7,9815021905.161520,9815021573.052996,285,2443898.000000,18942285.000000,3096308.000000,2443898.000000,13402079.000000,0.163460,0.000000,0.000000,0,1.000000
8,9783917005.105856,9783916675.941996,283,2422229.000000,18942285.000000,3101308.000000,2422229.000000,13418748.000000,0.163724,0.000000,0.000000,0,1.000000
9,9787958601.779013,9787958279.182995,283,2373898.000000,18942285.000000,3101308.000000,2373898.000000,13467079.000000,0.163724,0.000000,0.000000,0,1.000000
10,9771720621.382225,9771720302.862995,282,2343898.000000,18942285.000000,3101308.000000,2343898.000000,13497079.000000,0.163724,0.000000,0.000000,0,1.000000
